Spanish,English
quinientos,500
setecientos,700
novecientos,900
quince,15
Abierto,open
Aburrido,boring
Agradable,pleasant
Alegre,"cheerful/happy"
Alto,tall
Amable,"kind/friendly"
Ancho,wide
Antiguo,"old/ancient"
Antipático,"unfriendly/unpleasant"
Arrogante,arrogant
Bajo,"short (in height)"
Barato,cheap
Blanco,white
Borde,"rude (colloquial)"
Bueno,good
Caliente,hot
Callado,quiet
Caro,expensive
Cerrado,closed
Cobarde,"cowardly/coward"
Cómodo,comfortable
Creído,conceited
Delgado,"thin/slim"
Desagradable,unpleasant
Desordenado,"disorganized/messy"
Difícil,difficult
Discreto,discreet
Divertido,"fun/entertaining"
Educado,"polite/well-mannered"
Espacioso,spacious
Estrecho,narrow
Extravertido,"extroverted/outgoing"
Feo,ugly
Gordo,fat
Grosero,rude
Guapo,"good-looking/handsome"
Hablador,talkative
Incómodo,uncomfortable
Indiscreto,indiscreet
Insensible,insensitive
Inteligente,intelligent
Interesante,interesting
Joven,young
Ligero,"light (weight)"
Limpio,clean
Luminoso,"bright/well-lit"
Maleducado,"impolite/ill-mannered"
Mayor,"older (age)"
Mentiroso,"lying/dishonest"
Moderno,modern
Modesto,modest
Moreno,"dark-haired/brunette"
Negro,black
Nuevo,new
Optimista,optimistic
Ordenado,"tidy/organized"
Oscuro,dark
Pobre,poor
Perezoso,lazy
Pesado,heavy
Pesimista,pessimistic
Rico,rich
Rubio,"blond(e)"
Ruidoso,"noisy/loud"
Sensible,sensitive
Serio,serious
Silencioso,silent
Simpático,"nice/friendly"
Sucio,dirty
Tacaño,stingy
Tímido,shy
Tonto,"silly/foolish/dumb"
Trabajador,"hard-working"
Triste,sad
Usado,used
Valiente,brave
Vago,"lazy (colloquial)"
Viejo,old
